key,en,zh
global_goals:1---short,No Poverty,
global_goals:10---short,Reduced inequalities,
global_goals:11---short,Sustainable Cities & Communities,
global_goals:12---short,Responsible consumption and production,
global_goals:13---short,Climate action,
global_goals:14---short,Life below water,
global_goals:15---short,Life on land,
global_goals:16---short,Peace and justice - strong institutions,
global_goals:17---short,Partnerships for the goals,
global_goals:2---short,Zero Hunger,
global_goals:3---short,Good Health and Well-being,
global_goals:4---short,Quality Education,
global_goals:5---short,Gender Equality,
global_goals:6---short,Clean water and sanitation,
global_goals:7---short,Affordable and clean energy,
global_goals:8---short,Decent jobs and economic growth,
global_goals:9---short,"Industry, innovation and infrastructure",
post:posts_by_category,Posts by Category,
post:view_all_in_category,View all posts in the %category_name category,
