key,en,de
global_indicators:2-3-2-title,"Average income of small-scale food producers, by sex and indigenous status","Durchschnittliches Einkommen kleiner Nahrungsmittelproduzenten, nach Geschlecht und indigenem Status"
global_indicators:2-4-1-title,Proportion of agricultural area under productive and sustainable agriculture,Anteil der landwirtschaftlichen Fläche unter produktiver und nachhaltiger Bewirtschaftung
global_indicators:2-5-1-title,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,"Anzahl der pflanzlichen und tierischen genetischen Ressourcen für Ernährung und Landwirtschaft, die entweder in mittel- oder langfristigen Einrichtungen zu deren Erhalt gesichert sind"
global_indicators:2-5-2-title,"Proportion of local breeds classified as being at risk, not at risk or at unknown level of risk of extinction","Anteil der einheimischen Arten, die als gefährdet oder nicht gefährdet klassifiziert sind oder deren Gefährdungsgrad unbekannt ist"
global_indicators:2-a-1-title,The agriculture orientation index for government expenditures,Der Agriculture Orientation Index für staatliche Ausgaben
global_indicators:2-a-2-title,Total official flows (official development assistance plus other official flows) to the agriculture sector,Öffentliche Leistungen insgesamt (öffentliche Entwicklungszusammenarbeit plus sonstige öffentliche Ausgaben) für den Landwirtschaftssektor
global_indicators:2-b-1-title,Agricultural export subsidies,Ausfuhrsubventionen für landwirtschaftliche Güter
global_indicators:2-c-1-title,Indicator of food price anomalies,Indikator zu Preisschwankungen bei Lebensmittelpreisen
global_indicators:3-1-1-title,Maternal mortality ratio,Müttersterblichkeitsrate
global_indicators:3-1-2-title,Proportion of births attended by skilled health personnel,Anteil der Geburten unter der Aufsicht von qualifiziertem Gesundheitspersonal
global_indicators:3-2-1-title,Under‐five mortality rate,Sterblichkeitsrate von Kindern unter 5 Jahren
global_indicators:3-2-2-title,Neonatal mortality rate,Sterblichkeitsrate von Neugeborenen
global_indicators:3-3-1-title,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","Anzahl der HIV-Neuinfektionen je 1.000 nicht infizierter Einwohner, nach Geschlecht, Alter und Risikogruppen"
global_indicators:3-3-2-title,"Tuberculosis incidence per 100,000 population",Tuberkulose-Inzidenz je 100.000 Einwohner
global_indicators:3-3-3-title,"Malaria incidence per 1,000 population",Malaria-Inzidenz je 1.000 Einwohner
global_indicators:3-3-4-title,"Hepatitis B incidence per 100,000 population",Hepatitis-B-Inzidenz je 100.000 Einwohner
global_indicators:3-3-5-title,Number of people requiring interventions against neglected tropical diseases,"Anzahl der Personen, die Maßnahmen gegen vernachlässigte Tropenkrankheiten benötigen"
global_indicators:3-4-1-title,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Sterblichkeitsrate infolge von Herz-Kreislauf-Erkrankungen, Krebs, Diabetes oder chronischen Atemwegserkrankungen"
global_indicators:3-4-2-title,Suicide mortality rate,Sterblichkeitsrate bei Suizid
global_indicators:3-5-1-title,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders","Abdeckung durch Behandlungsmaßnahmen (pharmakologische, psychosoziale und Rehabilitations- und Nachsorgeleistungen) bei Substanzmissbrauch"
global_indicators:3-5-2-title,"Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","Schädlicher Alkoholkonsum, definiert gemäß den nationalen Gegebenheiten als Alkoholkonsum pro Kopf (15 Jahre und älter) innerhalb eines Kalenderjahres in Litern reinem Alkohol"
global_indicators:3-6-1-title,Death rate due to road traffic injuries,Sterblichkeitsrate aufgrund von Straßenverkehrsunfällen
global_indicators:3-7-1-title,Proportion of women of reproductive age (aged 15–49 years) who have their need for family planning satisfied with modern methods,"Anteil der Frauen im gebärfähigen Alter (15-49 Jahre), die ihren Anspruch auf Familienplanung durch moderne Methoden umsetzen können"
global_indicators:3-7-2-title,"Adolescent birth rate (aged 10–14 years; aged 15–19 years) per 1,000 women in that age group",Geburtenrate von Jugendlichen (10-14 Jahre 15-19 Jahre) je 1.000 Frauen derselben Altersgruppe
global_indicators:3-8-1-title,"Coverage of essential health services (defined as the average coverage of essential services based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases and service capacity and access, among the general and the most disadvantaged population)","Abdeckung der grundlegenden Gesundheitsleistungen (definiert als durchschnittliche Abdeckung der grundlegenden Leistungen basierend auf Tracer-Interventionen, einschließlich reproduktiver, Mütter-, Neugeborenen- und Kindergesundheit, infektiöser Krankheiten und nicht übertragbarer Krankheiten sowie Kapazitäten und Zugang zu Serviceleistungen, innerhalb der allgemein und der überwiegend benachteiligten Bevölkerung)"
global_indicators:3-8-2-title,Proportion of population with large household expenditures on health as a share of total household expenditure or income,Anteil der Bevölkerung mit hohen Haushaltsausgaben für Gesundheit als Anteil an den gesamten Haushaltsausgaben oder -einkommen
global_indicators:3-9-1-title,Mortality rate attributed to household and ambient air pollution,Sterblichkeitsrate infolge von Luftverschmutzung im Haushalt und der Umgebung
global_indicators:3-9-2-title,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","Sterblichkeitsrate infolge von Kontakt mit verunreinigtem Wasser, unzureichenden sanitären Verhältnissen und mangelnder Hygiene (Kontakt mit unzureichenden ""Wasser, Sanitäreinrichtungen und Hygiene für alle""-Leistungen (WASH))"
global_indicators:3-9-3-title,Mortality rate attributed to unintentional poisoning,Sterblichkeitsrate infolge von unbeabsichtigtem Vergiften
global_indicators:3-a-1-title,Age-standardized prevalence of current tobacco use among persons aged 15 years and older,Altersstandardisierte Prävalenz des aktuellen Tabakkonsums bei Personen im Alter von 15 Jahren und älter
global_indicators:3-b-1-title,Proportion of the target population covered by all vaccines included in their national programme,"Anteil der Zielbevölkerung, die alle Impfungen laut nationalen Programm besitzt"
global_indicators:3-b-2-title,Total net official development assistance to medical research and basic health sectors,Gesamte öffentliche Netto-Entwicklungszusammenarbeit für medizinische Forschung und grundlegende Gesundheitsversorgung
global_indicators:3-b-3-title,Proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,"Anteil der Gesundheitseinrichtungen, die über einen Kernsatz relevanter und wichtiger Medikamente verfügen, die nachhaltig verfügbar und bezahlbar sind"
global_indicators:3-c-1-title,Health worker density and distribution,Dichte und Verteilung von medizinischem Fachpersonal
global_indicators:3-d-1-title,International Health Regulations (IHR) capacity and health emergency preparedness,Kapazitäten für internationale Gesundheitsvorschriften (IGV) und Gesundheitsnotfallvorsorge
global_indicators:4-1-1-title,"Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","Anteil der Kinder und Jugendlichen, die (a) in Klasse 2/3 (b) am Ende der Grundschule und (c) am Ende der Sekundarstufe I ein Mindestleistungsniveau in (i) Lesen und (ii) Mathematik erreichen, nach Geschlecht"
global_indicators:4-2-1-title,"Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex","Anteil der Kinder unter 5 Jahren mit einer altersgemäßen  Entwicklung hinsichtlich Gesundheit, Lernen und psycho-sozialem Wohlbefinden, nach Geschlecht"
global_indicators:4-2-2-title,"Participation rate in organized learning (one year before the official primary entry age), by sex","Teilnahmequote an frühkindlicher Bildung (ein Jahr vor dem offiziellen Einschulungsalter), nach Geschlecht"
global_indicators:4-3-1-title,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex","Teilnahmequote von Jugendlichen und Erwachsenen an formaler und non-formaler Bildung und Ausbildung in den vergangenen 12 Monaten, nach Geschlecht"
global_indicators:4-4-1-title,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill","Anteil der Jugendlichen und Erwachsenen mit Kompetenzen in Informations- und Kommunikationstechnologie (IKT), nach Art der Kompetenz"
global_indicators:4-5-1-title,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","Paritäts-Indizes (weiblich/männlich, rural/urban, unterstes/oberstes Vermögensquantil und sonstige, wie z. B. Grad der Behinderung, indigene Bevölkerung und konfliktbetroffen, sobald Daten verfügbar werden) für alle Bildungsindikatoren dieser Liste, die disaggregiert werden können"
global_indicators:4-6-1-title,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex","Anteil der Bevölkerung einer bestimmten Altersgruppe, die über ein festes Mindestniveau an funktionalen (a) Lese- und (b) Rechenfähigkeiten verfügt, nach Geschlecht"
global_indicators:4-7-1-title,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment","Umfang, in dem (i) Bildung zu globaler Staatsbürgerschaft und (ii) Bildung für nachhaltige Entwicklung, einschließlich der Geschlechtergleichstellung und der Menschenrechte, auf allen Ebenen in: (a) nationale Bildungspolitik, (b) Lehrpläne, (c) Lehrerausbildung und (d) Schulleistungsuntersuchung berücksichtigt werden"
global_indicators:4-a-1-title,Proportion of schools with access to (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions),Anteil der Schulen mit Zugang zu: (a) Strom (b) Internet für Unterrichtszwecke (c) Computern für Unterrichtszwecke (d) angepasste Infrastruktur und Materialien für Schüler mit Behinderungen (e) Trinkwasser (f) geschlechterspezifischen sanitären Anlagen und g) grundlegende Ausstattung zum Händewaschen (gemäß den WASH-Indikator-Definitionen)
global_indicators:4-b-1-title,Volume of official development assistance flows for scholarships by sector and type of study,Umfang der Ausgaben öffentlicher Entwicklungszusammenarbeit für Stipendien nach Sektor und Art des Studiums
global_indicators:4-c-1-title,Proportion of teachers in: (a) pre-primary; (b) primary; (c) lower secondary; and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country,"Anteil der Lehrer in: (a) Vorschule (b) Grundschule (c ) Sekundarstufe I und (d) Sekundarstufe II, die vor oder während ihrer Tätigkeit mindestens die geforderte Grundausbildung (z. B. pädagogisches Training) zum Unterrichten für die entsprechende Klassenstufe im jeweiligen Land erhalten haben"
global_indicators:5-1-1-title,"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non‐discrimination on the basis of sex","Existenz gesetzlicher Rahmenbedingungen, die Gleichstellung und Nicht-Diskriminierung aufgrund des Geschlechts fördern, durchsetzen und überwachen"
global_indicators:5-2-1-title,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age","Anteil der Frauen und Mädchen im Alter von 15 Jahren und älter, die sich in ihrer jetzigen oder früheren Partnerschaft physischer, sexueller oder psychischer Gewalt durch ihren aktuellen oder früheren Intimpartner in den vergangenen 12 Monaten ausgesetzt waren, nach Art der Gewalt und Alter"
global_indicators:5-2-2-title,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence","Anteil der Frauen und Mädchen im Alter von 15 Jahren und älter, die sexueller Gewalt durch andere Personen als einem Intimpartner in den vergangenen 12 Monaten ausgesetzt waren, nach Alter und Ort des Geschehens"
global_indicators:5-3-1-title,Proportion of women aged 20–24 years who were married or in a union before age 15 and before age 18,"Anteil der 20- bis 24-jährigen Frauen, die vor einem Alter von 15 oder 18 Jahren verheiratet oder in einer vergleichbaren Verbindung waren"
global_indicators:5-3-2-title,"Proportion of girls and women aged 15–49 years who have undergone female genital mutilation/cutting, by age","Anteil der Mädchen und Frauen im Alter von 15-49 Jahren, die weiblicher Genitalverstümmelung unterzogen wurden, nach Alter"
global_indicators:5-4-1-title,"Proportion of time spent on unpaid domestic and care work, by sex, age and location","Anteil des Zeitaufwands für unbezahlte Haus- und Pflegearbeit, nach Geschlecht, Alter und Ort"
global_indicators:5-5-1-title,Proportion of seats held by women in (a) national parliaments and (b) local governments,Frauenanteil in (a) nationalen Parlamenten und (b) lokalen Regierungen
global_indicators:5-5-2-title,Proportion of women in managerial positions,Frauenanteil an  Führungspositionen
global_indicators:5-6-1-title,"Proportion of women aged 15–49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care","Anteil der Frauen im Alter von 15-49 Jahren, die eigenständig fundierte Entscheidungen über sexuelle Beziehungen, Verhütung und reproduktive Gesundheitsversorgung treffen"
global_indicators:5-6-2-title,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education","Anzahl der Staaten mit Gesetzen und Vorschriften, die einen uneingeschränkten und gleichberechtigten Zugang für Frauen und Männer im Alter von 15 Jahren und älter zu sexuellen und reproduktiven Gesundheitsleistungen, Information und Bildung garantieren"
global_indicators:5-a-1-title,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure","(a) Anteil der gesamten landwirtschaftlichen Bevölkerung mit Eigentum oder sicheren Rechten an landwirtschaftlichen Flächen, nach Geschlecht und (b) Anteil der Frauen an den Eigentümern oder Rechteinhabern landwirtschaftlicher Flächen, nach Art der Besitzverhältnisse"
global_indicators:5-a-2-title,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,"Anteil der Staaten, in denen der Rechtsrahmen (einschließlich Gewohnheitsrecht) Frauen die gleichen Rechte auf Landeigentum und/oder -nutzung garantiert"
global_indicators:5-b-1-title,"Proportion of individuals who own a mobile telephone, by sex","Anteil der Personen, die ein Mobiltelefon besitzen, nach Geschlecht"
global_indicators:5-c-1-title,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,Anteil der Staaten mit Systemen zur transparenten Verfolgung und Veröffentlichung von Zuwendungen für Geschlechtergleichstellung und Stärkung der Rolle der Frau
global_indicators:6-1-1-title,Proportion of population using safely managed drinking water services,Anteil der Bevölkerung mit Zugang zu einer sicheren Trinkwasserversorgung
global_indicators:6-2-1-title,"Proportion of population using safely managed sanitation services, including a handwashing facility with soap and water",Anteil der Bevölkerung mit (a) Zugang zu sicherer Sanitärversorgung und (b) einem Handwaschbecken mit Seife und Wasser
global_indicators:6-3-1-title,Proportion of wastewater safely treated,Anteil des sicher behandelten Abwassers
global_indicators:6-3-2-title,Proportion of bodies of water with good ambient water quality,Anteil der Gewässer mit guter Wasserqualität
global_indicators:6-4-1-title,Change in water-use efficiency over time,Veränderung der Wassernutzungseffizienz im Zeitablauf
global_indicators:6-4-2-title,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Grad der Wasserknappheit: Süßwasserentnahme als Anteil an den verfügbaren Süßwasserressourcen
global_indicators:6-5-1-title,Degree of integrated water resources management implementation (0 to 100),Grad der Umsetzung eines integrierten Wasserressourcenmanagements (0-100)
global_indicators:6-5-2-title,Proportion of transboundary basin area with an operational arrangement for water cooperation,Anteil der grenzüberschreitenden Flussgebiete mit einer operativen Vereinbarung zur Wasserkooperation
global_indicators:6-6-1-title,Change in the extent of water-related ecosystems over time,Veränderung des Umfangs wasserbezogener Ökosysteme im Zeitablauf
global_indicators:6-a-1-title,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,"Betrag der wasser- und sanitärbezogenen öffentlichen Entwicklungszusammenarbeit, die Teil eines geregelten öffentlichen Haushaltsplans ist"
global_indicators:6-b-1-title,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Anteil der lokalen Verwaltungseinheiten mit etablierten und operativen Strategien und Verfahren zur Beteiligung der Gemeinden am Wasser- und Abwassermanagement
global_indicators:7-1-1-title,Proportion of population with access to electricity,Anteil der Bevölkerung mit Zugang zu Elektrizität
global_indicators:7-1-2-title,Proportion of population with primary reliance on clean fuels and technology,Anteil der Bevölkerung mit überwiegender Abhängigkeit von sauberen Energieträgern und Technologien
global_indicators:7-2-1-title,Renewable energy share in the total final energy consumption,Anteil der erneuerbaren Energien am gesamten Endenergieverbrauch
global_indicators:7-3-1-title,Energy intensity measured in terms of primary energy and GDP,Energieintensität gemessen als Primärenergie zum BIP
global_indicators:7-a-1-title,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems","Internationale Finanzströme an Entwicklungsländer zur Förderung von Forschung und Entwicklung im Bereich sauberer Energien sowie erneuerbarer Energieproduktion, einschließlich Hybridsystemen"
global_indicators:7-b-1-title,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services,Investitionen in Energieeffizienz als Anteil am BIP und der Betrag der ausländischen Direktinvestitionen in Form von Finanzmitteln für Infrastruktur und Technologien der Dienstleistungen für nachhaltige Entwicklung
global_indicators:8-1-1-title,Annual growth rate of real GDP per capita,Jährliche Wachstumsrate des realen BIP pro Kopf
global_indicators:8-10-1-title,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults",(a) Anzahl der Bankfilialen je 100.000 Erwachsener und (b) Anzahl der Geldautomaten je 100.000 Erwachsener
global_indicators:8-10-2-title,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Anteil der Erwachsenen (15 Jahre und älter) mit einem Konto bei einer Bank oder einem anderen Finanzinstitut oder einem mobilen Geldleistungsanbiete
global_indicators:8-2-1-title,Annual growth rate of real GDP per employed person,Jährliche Wachstumsrate des realen BIP je Beschäftigten
global_indicators:8-3-1-title,"Proportion of informal employment in non‐agriculture employment, by sex","Anteil der informellen Beschäftigung an allen Beschäftigungsverhältnissen außerhalb der Landwirtschaft, nach Geschlecht"
global_indicators:8-4-1-title,"Material footprint, material footprint per capita, and material footprint per GDP","Rohstoff-Fußabdruck, Rohstoff-Fußabdruck pro Kopf und Rohstoff-Fußabdruck pro BIP"
global_indicators:8-4-2-title,"Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP","Inländische Materialverwendung, inländische Materialverwendung pro Kopf und inländische Materialverwendung pro BIP"
global_indicators:8-5-1-title,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities","Durchschnittlicher Stundenlohn von weiblichen und männlichen Beschäftigten, nach Beruf, Alter und Personen mit Behinderungen"
global_indicators:8-5-2-title,"Unemployment rate, by sex, age and persons with disabilities","Arbeitslosenquote, nach Geschlecht, Alter und Personen mit Behinderungen"
global_indicators:8-6-1-title,"Proportion of youth (aged 15–24 years) not in education, employment or training","Anteil der Jugendlichen (im Alter von 15-24 Jahren), die nicht in schulischer Ausbildung, in Beschäftigung oder Berufsaus- oder -weiterbildung sind"
global_indicators:8-7-1-title,"Proportion and number of children aged 5–17 years engaged in child labour, by sex and age","Anteil und Anzahl der Kinder im Alter von 5-17 Jahren, die Kinderarbeit verrichten, nach Geschlecht und Alter"
global_indicators:8-8-1-title,"Frequency rates of fatal and non-fatal occupational injuries, by sex and migrant status","Häufigkeitsraten von tödlichen und nicht-tödlichen Arbeitsunfällen, nach Geschlecht und Migrationsstatus"
global_indicators:8-8-2-title,"Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status","Grad der nationalen Einhaltung der Arbeitnehmerrechte (Vereinigungsfreiheit und Tarifverhandlungen) basierend auf Textquellen der Internationalen Arbeitsorganisation (ILO) und nationaler Gesetzesgrundlagen, nach Geschlecht und Migrationsstatus"
global_indicators:8-9-1-title,Tourism direct GDP as a proportion of total GDP and in growth rate,Direktes BIP des Tourismus als Anteil am gesamten BIP und als Wachstumsrate
global_indicators:8-9-2-title,Proportion of jobs in sustainable tourism industries out of total tourism jobs,Anteil der Arbeitsplätze im nachhaltigen Tourismus an den gesamten Arbeitsplätzen im Tourismusbereich
global_indicators:8-a-1-title,Aid for Trade commitments and disbursements,Aid for Trade-Zusagen und -Auszahlungen
global_indicators:8-b-1-title,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy","Existenz einer entwickelten und operationalisierten nationalen Strategie zu Jugendbeschäftigung , als eigenständige Strategie oder als Teil einer nationalen Beschäftigungsstrategie"
global_indicators:9-1-1-title,Proportion of the rural population who live within 2 km of an all-season road,"Anteil der ländlichen Bevölkerung, die im Umkreis von 2 km entfernt an einer ganzjährig befahrbaren Straße lebt"
global_indicators:9-1-2-title,"Passenger and freight volumes, by mode of transport","Passagiere und Frachtvolumen, nach der Art des Transports"
global_indicators:9-2-1-title,Manufacturing value added as a proportion of GDP and per capita,Wertschöpfung des Verarbeitenden Gewerbes als Anteil am BIP und pro Kopf
global_indicators:9-2-2-title,Manufacturing employment as a proportion of total employment,Beschäftigung im Verarbeitenden Gewerbe als Anteil an der Beschäftigung insgesamt
global_indicators:9-3-1-title,Proportion of small-scale industries in total industry value added,Anteil der kleiner Unternehmen an der gesamten Wertschöpfung der Industrie
global_indicators:9-3-2-title,Proportion of small-scale industries with a loan or line of credit,Anteil kleiner Unternehmen mit einem Kredit oder einem Kreditrahmen
global_indicators:9-4-1-title,CO2 emission per unit of value added,CO2-Emissionen pro Wertschöpfungseinheit
global_indicators:9-5-1-title,Research and development expenditure as a proportion of GDP,Ausgaben für Forschung und Entwicklung als Anteil am BIP
global_indicators:9-5-2-title,Researchers (in full-time equivalent) per million inhabitants,Wissenschaftler (in Vollzeit-Äquivalenten) je eine Million Einwohner
global_indicators:9-a-1-title,Total official international support (official development assistance plus other official flows) to infrastructure,Gesamte öffentliche internationale Unterstützung (öffentliche Entwicklungszusammenarbeit und andere öffentliche Mittel) für Infrastruktu
global_indicators:9-b-1-title,Proportion of medium and high-tech industry value added in total value added,Anteil der Wertschöpfung der Medium- und High-Tech-Industrie an der Wertschöpfung insgesamt
global_indicators:9-c-1-title,"Proportion of population covered by a mobile network, by technology","Anteil der Bevölkerung, die durch ein Mobilfunknetz abgedeckt ist, nach Technologie"
calendar:January,January,Januar
calendar:February,February,Februar
calendar:March,March,März
calendar:April,April,April
calendar:May,May,Kann
calendar:June,June,Juni
calendar:July,July,Juli
calendar:August,August,August
calendar:September,September,September
calendar:October,October,Oktober
calendar:November,November,November
calendar:December,December,Dezember
